,Interaction Type,x_vector,y_vector,z_vector,Molecule ID
774,aromatic,5,14,10,34
775,aromatic,5,16,8,34
776,aromatic,4,15,5,34
777,aromatic,6,20,10,34
778,aromatic,6,23,10,34
779,aromatic,7,23,13,34
780,aromatic,7,25,14,34
781,aromatic,8,25,17,34
782,aromatic,8,23,18,34
783,aromatic,8,20,17,34
784,aromatic,7,21,14,34
785,aromatic,6,19,12,34
786,basic,5,19,8,34
787,basic,6,23,10,34
788,donor,8,24,16,35
789,acceptor,6,17,10,35
790,acceptor,8,15,14,35
791,acceptor,13,30,17,35
792,acceptor,14,31,19,35
793,aromatic,6,14,9,35
794,aromatic,5,14,6,35
795,aromatic,4,18,6,35
796,aromatic,5,19,9,35
797,aromatic,6,17,10,35
798,aromatic,7,17,12,35
799,aromatic,8,20,14,35
800,aromatic,7,22,12,35
801,aromatic,6,21,10,35
802,aromatic,13,30,17,35
803,aromatic,12,33,15,35
804,aromatic,13,34,17,35
805,aromatic,15,33,19,35
806,aromatic,14,31,19,35
807,basic,6,21,10,35
808,basic,8,24,16,35
809,aliphatic_ring,8,24,16,35
810,aliphatic_ring,6,24,18,35
811,aliphatic_ring,7,25,21,35
812,aliphatic_ring,9,27,20,35
813,aliphatic_ring,9,27,17,35
814,donor,9,10,19,36
815,donor,5,22,10,36
816,acceptor,7,10,10,36
817,acceptor,9,7,21,36
818,aromatic,4,7,15,36
819,aromatic,6,7,17,36
820,aromatic,7,9,17,36
821,aromatic,8,10,14,36
822,aromatic,6,9,12,36
823,aromatic,5,7,12,36
824,aromatic,5,17,11,36
825,aromatic,7,19,13,36
826,aromatic,7,21,12,36
827,aromatic,5,22,10,36
828,aromatic,5,19,9,36
829,aromatic,11,9,23,36
830,aromatic,9,10,26,36
831,aromatic,11,11,28,36
832,aromatic,14,11,28,36
833,aromatic,15,11,26,36
834,aromatic,14,10,23,36
835,halogen,18,11,26,36
836,halogen,15,12,30,36
837,basic,5,17,11,36
838,donor,7,19,14,37
839,acceptor,3,25,20,37
840,acceptor,8,25,22,37
841,acceptor,14,23,25,37
842,aromatic,6,14,9,37
843,aromatic,5,15,7,37
844,aromatic,5,18,7,37
